title,price,rating,availability,stock_count,in_stock,price_category,rating_category,category
Aladdin and His Wonderful Lamp,53.13,3,In stock,1,True,Premium,Average,Non-fiction
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,In stock,1,True,Premium,Good,Biography
Wall and Piece,44.18,4,In stock,1,True,Premium,Good,Non-fiction
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,1,True,Budget,Good,Cooking
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,1,True,Mid-Range,Average,Biography
The Elephant Tree,23.82,5,In stock,1,True,Mid-Range,Good,Fiction
The Bear and the Piano,36.89,1,In stock,1,True,Mid-Range,Poor,History
Sophie's World,15.94,5,In stock,1,True,Budget,Good,Romance
Penny Maybe,33.29,3,In stock,1,True,Mid-Range,Average,Travel
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,1,True,Budget,Poor,Non-fiction
"In a Dark, Dark Wood",19.63,1,In stock,1,True,Budget,Poor,Fantasy
Behind Closed Doors,52.22,4,In stock,1,True,Premium,Good,Science Fiction
You can't bury them all: Poems,33.63,2,In stock,1,True,Mid-Range,Poor,Mystery
Slow States of Collapse: Poems,57.31,3,In stock,1,True,Premium,Average,Mystery
Reasons to Stay Alive,26.41,2,In stock,1,True,Mid-Range,Poor,Fantasy
Private Paris (Private #10),47.61,5,In stock,1,True,Premium,Good,Fantasy
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,1,True,Mid-Range,Good,Romance
Without Borders (Wanderlove #1),45.07,2,In stock,1,True,Premium,Poor,Fiction
When We Collided,31.77,1,In stock,1,True,Mid-Range,Poor,Romance
"We Love You, Charlie Freeman",50.27,5,In stock,1,True,Premium,Good,Biography
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,1,True,Budget,Good,Travel
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,1,True,Premium,Good,History
Unicorn Tracks,18.78,3,In stock,1,True,Budget,Average,Mystery
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,1,True,Mid-Range,Poor,Travel
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,1,True,Budget,Poor,Fiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,1,True,Mid-Range,Average,Biography
This One Summer,19.49,4,In stock,1,True,Budget,Good,Fantasy
Thirst,17.27,5,In stock,1,True,Budget,Good,Biography
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,1,True,Budget,Poor,Cooking
The Secret of Dreadwillow Carse,56.13,1,In stock,1,True,Premium,Poor,Science Fiction
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,1,True,Premium,Poor,Travel
The Past Never Ends,56.5,4,In stock,1,True,Premium,Good,Biography
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,1,True,Premium,Average,Mystery
The Nameless City (The Nameless City #1),38.16,4,In stock,1,True,Mid-Range,Good,Romance
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,1,True,Premium,Average,Non-fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,1,True,Premium,Good,Fiction
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,1,True,Mid-Range,Good,Non-fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,1,True,Budget,Average,Romance
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,1,True,Mid-Range,Good,Romance
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,1,True,Mid-Range,Poor,Mystery
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,1,True,Premium,Poor,History
The Death of Humanity: and the Case for Life,58.11,4,In stock,1,True,Premium,Good,History
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,1,True,Premium,Average,Travel
The Art Forger,40.76,3,In stock,1,True,Premium,Average,Non-fiction
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,1,True,Budget,Poor,Science Fiction
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,1,True,Mid-Range,Good,Non-fiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,1,True,Premium,Good,Fantasy
Soul Reader,39.58,2,In stock,1,True,Mid-Range,Poor,Travel
Security,39.25,2,In stock,1,True,Mid-Range,Poor,Biography
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,1,True,Mid-Range,Average,Biography
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,1,True,Premium,Poor,Cooking
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,1,True,Budget,Poor,Cooking
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,1,True,Premium,Average,History
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,1,True,Budget,Good,Non-fiction
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,1,True,Budget,Good,Non-fiction
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,1,True,Budget,Poor,Mystery
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,1,True,Mid-Range,Poor,Science Fiction
Patience,10.16,3,In stock,1,True,Budget,Average,Non-fiction
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,1,True,Budget,Good,Non-fiction
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,1,True,Premium,Poor,Romance
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,1,True,Premium,Poor,Travel
On a Midnight Clear,14.07,3,In stock,1,True,Budget,Average,History
Obsidian (Lux #1),14.86,2,In stock,1,True,Budget,Poor,Non-fiction
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,1,True,Mid-Range,Poor,History
Masks and Shadows,56.4,2,In stock,1,True,Premium,Poor,Mystery
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,1,True,Budget,Good,Cooking
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,1,True,Premium,Poor,History
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,1,True,Premium,Average,Romance
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,1,True,Budget,Poor,Biography
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,1,True,Premium,Poor,Fantasy
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,1,True,Premium,Poor,Travel
Join,35.67,5,In stock,1,True,Mid-Range,Good,Science Fiction
In the Country We Love: My Family Divided,22.0,4,In stock,1,True,Mid-Range,Good,Mystery
